emp_no,birth_date,first_name,last_name,from_date,to_date,title
10095,1965-01-03,Hilari,Morton,1994-03-10,9999-01-01,Senior Staff
10122,1965-01-19,Ohad,Esposito,1998-08-06,9999-01-01,Technique Leader
10291,1965-01-23,Dipayan,Seghrouchni,1987-03-30,9999-01-01,Senior Staff
10476,1965-01-01,Kokou,Iisaka,1987-09-20,9999-01-01,Senior Staff
10663,1965-01-09,Teunis,Noriega,1999-02-12,9999-01-01,Technique Leader
10762,1965-01-19,Lech,Himler,1992-01-21,9999-01-01,Senior Staff
10933,1965-01-24,Juyoung,Seghrouchni,1993-08-02,9999-01-01,Senior Engineer
12155,1965-01-21,Keiichiro,Glinert,1993-09-16,9999-01-01,Engineer
12408,1965-01-10,Rasiah,Sudkamp,1995-04-18,9999-01-01,Senior Engineer
12643,1965-01-30,Morrie,Schurmann,1998-12-31,9999-01-01,Staff
13499,1965-01-16,Kazuhiko,Sidou,1991-09-01,9999-01-01,Technique Leader
14075,1965-01-03,Denny,Tchuente,1991-05-30,9999-01-01,Assistant Engineer
14104,1965-01-03,Sudhanshu,Demian,1994-07-23,9999-01-01,Senior Staff
14127,1965-01-10,Magdalena,Cannard,1994-04-22,9999-01-01,Engineer
14158,1965-01-22,Caolyn,Setiz,1990-02-06,9999-01-01,Senior Staff
14476,1965-01-19,Sastry,Marrevee,1999-09-25,9999-01-01,Engineer
14907,1965-01-14,Nakhoon,Luga,1986-12-18,9999-01-01,Senior Staff
15050,1965-01-18,Nikolaos,Kruskal,1990-12-17,9999-01-01,Engineer
15058,1965-01-30,Bouchung,Bugrara,1990-06-18,9999-01-01,Senior Staff
15413,1965-01-17,Arvin,Rabejac,1994-01-01,9999-01-01,Engineer
16461,1965-01-14,Remmert,Schahn,1986-09-06,9999-01-01,Senior Staff
16528,1965-01-21,Gaurav,Swick,1996-05-07,9999-01-01,Assistant Engineer
17013,1965-01-15,Morris,Garigliano,1995-05-24,9999-01-01,Senior Staff
17206,1965-01-02,Berry,DeMori,1992-12-27,9999-01-01,Engineer
17369,1965-01-31,Yaghout,Kenevan,2000-09-15,9999-01-01,Engineer
17447,1965-01-11,Zengping,Boreale,1998-12-16,9999-01-01,Staff
17731,1965-01-16,Gennady,Roison,1989-12-06,9999-01-01,Assistant Engineer
17970,1965-01-06,Filipp,Carrere,1989-01-09,9999-01-01,Technique Leader
17988,1965-01-31,Mabhin,Calkin,1989-11-30,9999-01-01,Engineer
18021,1965-01-07,Adil,Matzke,1987-05-08,9999-01-01,Engineer
18424,1965-01-19,Filipp,Rousseau,1995-06-07,9999-01-01,Engineer
18583,1965-01-03,Stafford,Honglei,1998-08-16,9999-01-01,Staff
18617,1965-01-21,Surveyors,Crouzet,1989-04-24,9999-01-01,Senior Staff
18810,1965-01-09,Taiji,Jarecki,1991-06-27,9999-01-01,Engineer
19236,1965-01-24,Elzbieta,Morris,1988-07-12,9999-01-01,Engineer
19350,1965-01-19,Satoru,Yoshizawa,1994-03-27,9999-01-01,Senior Staff
19803,1965-01-30,Ziva,Kowalchuk,1987-06-13,9999-01-01,Engineer
20100,1965-01-18,Utz,Heuter,1986-06-15,9999-01-01,Senior Staff
20128,1965-01-23,Kazunori,Peak,1999-08-13,9999-01-01,Senior Staff
20129,1965-01-10,Rafael,Skafidas,1991-03-28,9999-01-01,Engineer
20248,1965-01-12,Vidar,Demri,1999-12-31,9999-01-01,Staff
20313,1965-01-24,Candida,Benveniste,1999-01-20,9999-01-01,Engineer
20500,1965-01-30,Christoph,Trystram,1993-10-15,9999-01-01,Senior Staff
20885,1965-01-21,Otmar,Rothenberg,1989-03-14,9999-01-01,Engineer
21181,1965-01-21,Jianhui,Cangellaris,1991-10-06,9999-01-01,Assistant Engineer
21188,1965-01-21,Piyush,Danecki,2000-01-08,9999-01-01,Engineer
21546,1965-01-01,Yongmin,Lanteri,2002-03-19,9999-01-01,Senior Staff
